WKT,Name,vertex_index,vertex_part,vertex_part_index,distance,angle
"POINT ZM (-115.466424387091 32.369813606064 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"13","0","13",0.16778198118990,327.53225426435228
"POINT ZM (-115.474114343572 32.378778814788 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"14","0","14",0.17959343318128,310.28669117719653
"POINT ZM (-115.482523993029 32.383870857241 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"15","0","15",0.18942456232970,302.39013436336393
"POINT ZM (-115.497463255212 32.393790979843 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"16","0","16",0.20735750372287,301.13359690644455
"POINT ZM (-115.510345100408 32.400838275026 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"17","0","17",0.22204104229673,304.86715987306269
"POINT ZM (-115.521563016562 32.410607918345 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"18","0","18",0.23691678004041,312.29156926222208
"POINT ZM (-115.533421146792 32.42187292487 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"19","0","19",0.25327268492396,315.37098979593549
"POINT ZM (-115.542529113062 32.431712536664 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"20","0","20",0.26668063069623,316.60233901648468
"POINT ZM (-115.552820195606 32.442366788211 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"21","0","21",0.28149344460697,318.95743160656474
"POINT ZM (-115.561982291247 32.454060683475 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"22","0","22",0.29634912308291,321.92151709693371
"POINT ZM (-115.33380237236 32.270176287626 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"0","0","0",0.00000000000000,308.90363860833702
"POINT ZM (-115.344922254184 32.279150067155 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"1","0","1",0.01428917390246,313.53764445134493
"POINT ZM (-115.352296083467 32.287389038425 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"2","0","2",0.02534602724700,308.39725806285333
"POINT ZM (-115.360675549232 32.291962010605 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"3","0","3",0.03489210084120,295.75727516154325
"POINT ZM (-115.375577761812 32.298254403088 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"4","0","4",0.05106832236972,297.47366612805541
"POINT ZM (-115.389137314082 32.306745674587 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"5","0","5",0.06706717074805,302.88669724085884
"POINT ZM (-115.402689864774 32.315790168413 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"6","0","6",0.08336055894166,302.80694977152996
"POINT ZM (-115.415391045115 32.323694773692 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"7","0","7",0.09832059793463,308.28620224717764
"POINT ZM (-115.418818180409 32.327083396311 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"8","0","8",0.10314014351253,311.79356756475244
"POINT ZM (-115.427191138495 32.333842148176 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"9","0","9",0.11390058745702,309.40526848653110
"POINT ZM (-115.436228799745 32.341398713049 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"10","0","10",0.12568112197586,311.41745634771542
"POINT ZM (-115.452279754488 32.356332598224 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"11","0","11",0.14760494633618,308.57539867021239
"POINT ZM (-115.46390520144 32.364237853496 0 0)",PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-CFM5,"12","0","12",0.16166354078047,319.95078407105740
