WKT,WKT_GEOMET,accuracy,activity_c,average_di,average_ra,catalog_id,catalog_na,dip_dir,downthrown,downthro_1,epistemic_,exposure_q,fs_name,is_active,last_movem,lower_seis,name,net_slip_r,notes,ogc_fid,reference,shortening,slip_type,strike_sli,upper_seis,vert_sep_r,vertex_index,vertex_part,vertex_part_index,distance,angle
"POINT (-115.099 32.1608)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"0","0","0",0.00000000000000,291.89915040060254
"POINT (-115.2 32.2014)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"1","0","1",0.10885476562833,293.49364476326645
"POINT (-115.244 32.222)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"2","0","2",0.15743830193437,295.66625415925228
"POINT (-115.287 32.2432)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"3","0","3",0.20538035028444,296.28988959822806
"POINT (-115.327 32.263)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"4","0","4",0.25001262560174,292.72523253814023
"POINT (-115.399999999999 32.2883)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"5","0","5",0.32727251169960,298.92015464214199
"POINT (-115.72 32.5449)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"6","0","6",0.73744754750826,303.41576201634354
"POINT (-115.808 32.5919)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"7","0","7",0.83721227073247,316.90735664330288
"POINT (-115.839999999999 32.6628)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"8","0","8",0.91499922336550,330.96810102788464
"POINT (-115.883 32.7271)",,,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,,Normal-Dextral,,"(0.0,,)",,"9","0","9",0.99235224528505,326.22775858996528
